,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
0,filter1$\longleftrightarrow$filter3,200,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.0319881,36.0,42.0,2210.0,2391.0,4.77553933004251e-112,4.6102049074719454e-111,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
1,filter1$\longleftrightarrow$filter10,207,MYB_tnt.MYB51_col_a_m1,0.00363722,C2C2dof_tnt.AT1G69570_colamp_a_m1,0.00711469,90.0,36.0,3031.0,3746.0,8.689740210124161e-66,2.099953213508525e-65,MYB51,AT1G69570,MYB51$\longleftrightarrow$AT1G69570,MYB,C2C2dof,MYB$\longleftrightarrow$C2C2dof
2,filter1$\longleftrightarrow$filter12,209,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.00018858599999999997,102.0,300.0,2504.0,2330.0,1.2260257312255254e-153,4.591060043672761e-152,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
3,filter1$\longleftrightarrow$filter13,210,MYB_tnt.MYB51_col_a_m1,0.00363722,TCP_tnt.TCP20_col_a_m1,0.00418335,84.0,282.0,1021.0,931.0,2.010799302422334e-39,2.654508395374968e-39,MYB51,TCP20,MYB51$\longleftrightarrow$TCP20,MYB,TCP,MYB$\longleftrightarrow$TCP
4,filter1$\longleftrightarrow$filter14,211,MYB_tnt.MYB51_col_a_m1,0.00363722,WRKY_tnt.WRKY31_col_a_m1,0.00969694,204.0,24.0,1418.0,1539.0,1.4418826672885273e-72,4.2093514668045663e-72,MYB51,WRKY31,MYB51$\longleftrightarrow$WRKY31,MYB,WRKY,MYB$\longleftrightarrow$WRKY
5,filter1$\longleftrightarrow$filter19,216,MYB_tnt.MYB51_col_a_m1,0.00363722,C2H2_tnt.AtIDD11_col_a_m1,0.000899688,180.0,84.0,1859.0,2298.0,2.2800643731019887e-44,3.3047581108853587e-44,MYB51,AtIDD11,MYB51$\longleftrightarrow$AtIDD11,MYB,C2H2,MYB$\longleftrightarrow$C2H2
6,filter1$\longleftrightarrow$filter21,218,MYB_tnt.MYB51_col_a_m1,0.00363722,bZIP_tnt.TGA2_col_m1,0.006252399999999999,162.0,30.0,2717.0,2977.0,2.8146384392926845e-131,5.269944074952327e-130,MYB51,TGA2,MYB51$\longleftrightarrow$TGA2,MYB,bZIP,MYB$\longleftrightarrow$bZIP
7,filter1$\longleftrightarrow$filter22,219,MYB_tnt.MYB51_col_a_m1,0.00363722,MYB_tnt.MYB39_colamp_a_m1,0.0160901,84.0,18.0,3354.0,4310.0,3.0610687103585515e-59,6.261890242821004e-59,MYB51,MYB39,MYB51$\longleftrightarrow$MYB39,MYB,MYB,MYB$\longleftrightarrow$MYB
8,filter1$\longleftrightarrow$filter23,220,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G40260_colamp_a_m1,0.0136804,54.0,108.0,2405.0,3007.0,8.44358112177909e-56,1.5802375499985233e-55,MYB51,AT2G40260,MYB51$\longleftrightarrow$AT2G40260,MYB,G2like,MYB$\longleftrightarrow$G2like
9,filter1$\longleftrightarrow$filter32,229,MYB_tnt.MYB51_col_a_m1,0.00363722,G2like_tnt.AT2G20400_col_a_m1,0.00179727,168.0,24.0,2013.0,2087.0,1.6479044073046602e-102,1.1810739033930918e-101,MYB51,AT2G20400,MYB51$\longleftrightarrow$AT2G20400,MYB,G2like,MYB$\longleftrightarrow$G2like
