,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
0,filter0$\longleftrightarrow$filter1,0,M1592_1.02,0.000295472,M0905_1.02,0.020514599999999997,132.0,294.0,126.0,335.0,0.0015733083274811833,0.0018185281134134648,SOX3,HOXA6,SOX3$\longleftrightarrow$HOXA6,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
1,filter0$\longleftrightarrow$filter21,20,M1592_1.02,0.000295472,M0891_1.02,0.00370712,30.0,24.0,153.0,274.0,9.404829446475532e-05,0.00012652397349168057,SOX3,TLX2,SOX3$\longleftrightarrow$TLX2,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
2,filter0$\longleftrightarrow$filter71,70,M1592_1.02,0.000295472,M4459_1.02,0.025375400000000003,336.0,90.0,202.0,230.0,1.9490206829544434e-07,4.4029331680936787e-07,SOX3,EGR1,SOX3$\longleftrightarrow$EGR1,Sox,C2H2 ZF,Sox$\longleftrightarrow$C2H2 ZF
3,filter0$\longleftrightarrow$filter101,100,M1592_1.02,0.000295472,M1110_1.02,0.00439645,90.0,30.0,174.0,368.0,6.469071983255367e-06,1.0532509525678689e-05,SOX3,HHEX,SOX3$\longleftrightarrow$HHEX,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
4,filter0$\longleftrightarrow$filter130,129,M1592_1.02,0.000295472,M0891_1.02,0.040161,108.0,30.0,215.0,365.0,1.7049527840196126e-09,6.173907521654637e-09,SOX3,TLX2,SOX3$\longleftrightarrow$TLX2,Sox,Homeodomain,Sox$\longleftrightarrow$Homeodomain
5,filter0$\longleftrightarrow$filter133,132,M1592_1.02,0.000295472,M0609_1.02,0.00486299,120.0,312.0,222.0,320.0,2.3581735429771297e-23,1.014333295580568e-21,SOX3,DNMT1,SOX3$\longleftrightarrow$DNMT1,Sox,CxxC,Sox$\longleftrightarrow$CxxC
6,filter0$\longleftrightarrow$filter161,160,M1592_1.02,0.000295472,M4459_1.02,0.0224206,90.0,486.0,187.0,236.0,1.293938917995844e-07,3.0553468664545786e-07,SOX3,EGR1,SOX3$\longleftrightarrow$EGR1,Sox,C2H2 ZF,Sox$\longleftrightarrow$C2H2 ZF
7,filter0$\longleftrightarrow$filter162,161,M1592_1.02,0.000295472,M0609_1.02,0.0188738,48.0,144.0,116.0,306.0,0.03869210330219723,0.0401686121366255,SOX3,DNMT1,SOX3$\longleftrightarrow$DNMT1,Sox,CxxC,Sox$\longleftrightarrow$CxxC
8,filter1$\longleftrightarrow$filter21,218,M0905_1.02,0.020514599999999997,M0891_1.02,0.00370712,204.0,192.0,170.0,291.0,1.5012625451164784e-07,3.4956244923963065e-07,HOXA6,TLX2,HOXA6$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
9,filter1$\longleftrightarrow$filter23,220,M0905_1.02,0.020514599999999997,M0891_1.02,0.00977604,378.0,96.0,241.0,335.0,1.9791957776653893e-15,2.0929502193717386e-14,HOXA6,TLX2,HOXA6$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
10,filter1$\longleftrightarrow$filter24,221,M0905_1.02,0.020514599999999997,M0891_1.02,0.00601423,198.0,372.0,144.0,362.0,0.017746427867766718,0.018704264868576646,HOXA6,TLX2,HOXA6$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
11,filter1$\longleftrightarrow$filter28,225,M0905_1.02,0.020514599999999997,M0609_1.02,0.00120471,108.0,108.0,213.0,213.0,1.0084255979962225e-11,5.966205721973931e-11,HOXA6,DNMT1,HOXA6$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
12,filter1$\longleftrightarrow$filter32,229,M0905_1.02,0.020514599999999997,M1605_1.02,0.00916551,48.0,144.0,217.0,426.0,2.8956126349449934e-05,4.227860099555007e-05,HOXA6,SOX1,HOXA6$\longleftrightarrow$SOX1,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
13,filter1$\longleftrightarrow$filter39,236,M0905_1.02,0.020514599999999997,M0632_1.02,0.00220547,36.0,288.0,163.0,403.0,0.000216885293425099,0.0002798321398346534,HOXA6,DMRTA2,HOXA6$\longleftrightarrow$DMRTA2,Homeodomain,DM,Homeodomain$\longleftrightarrow$DM
14,filter1$\longleftrightarrow$filter40,237,M0905_1.02,0.020514599999999997,M0891_1.02,0.0125603,54.0,288.0,107.0,293.0,0.02617078009620851,0.02735684500697264,HOXA6,TLX2,HOXA6$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
15,filter1$\longleftrightarrow$filter41,238,M0905_1.02,0.020514599999999997,M0931_1.02,0.0324033,234.0,294.0,74.0,350.0,0.008606244436117044,0.009226566534240671,HOXA6,LHX5,HOXA6$\longleftrightarrow$LHX5,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
16,filter1$\longleftrightarrow$filter44,241,M0905_1.02,0.020514599999999997,M0891_1.02,0.00140854,36.0,60.0,177.0,268.0,3.009493385159922e-07,6.538714979497633e-07,HOXA6,TLX2,HOXA6$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
17,filter1$\longleftrightarrow$filter54,251,M0905_1.02,0.020514599999999997,M0609_1.02,0.00172457,288.0,60.0,133.0,279.0,0.0038869037725650203,0.004288393313024075,HOXA6,DNMT1,HOXA6$\longleftrightarrow$DNMT1,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
18,filter1$\longleftrightarrow$filter57,254,M0905_1.02,0.020514599999999997,M0404_1.02,0.046704,156.0,114.0,186.0,333.0,7.1969132444188475e-06,1.1604749167672333e-05,HOXA6,ZNF202,HOXA6$\longleftrightarrow$ZNF202,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
19,filter1$\longleftrightarrow$filter59,256,M0905_1.02,0.020514599999999997,M0408_1.02,0.0484739,36.0,30.0,119.0,278.0,0.0021105651581443136,0.002400117505671079,HOXA6,ZKSCAN1,HOXA6$\longleftrightarrow$ZKSCAN1,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
20,filter1$\longleftrightarrow$filter69,266,M0905_1.02,0.020514599999999997,M1592_1.02,8.324540000000001e-05,252.0,174.0,120.0,374.0,0.0054787430111945465,0.005964035227302408,HOXA6,SOX3,SOX3$\longleftrightarrow$HOXA6,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
21,filter1$\longleftrightarrow$filter71,268,M0905_1.02,0.020514599999999997,M4459_1.02,0.025375400000000003,246.0,24.0,225.0,242.0,8.694261389555148e-08,2.1469227310282415e-07,HOXA6,EGR1,HOXA6$\longleftrightarrow$EGR1,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
22,filter1$\longleftrightarrow$filter78,275,M0905_1.02,0.020514599999999997,M0714_1.02,0.0119414,300.0,30.0,96.0,232.0,0.006369849100247586,0.00691043956581052,HOXA6,ENSG00000235187,HOXA6$\longleftrightarrow$ENSG00000235187,Homeodomain,Ets,Homeodomain$\longleftrightarrow$Ets
23,filter1$\longleftrightarrow$filter81,278,M0905_1.02,0.020514599999999997,M1605_1.02,0.00109332,138.0,18.0,164.0,392.0,2.202706936459147e-07,4.916701387622346e-07,HOXA6,SOX1,HOXA6$\longleftrightarrow$SOX1,Homeodomain,Sox,Sox$\longleftrightarrow$Homeodomain
24,filter1$\longleftrightarrow$filter90,287,M0905_1.02,0.020514599999999997,M0607_1.02,0.0174315,114.0,216.0,233.0,373.0,2.474225610742628e-10,1.083281997110562e-09,HOXA6,KDM2B,HOXA6$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
