,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
0,filter1$\longleftrightarrow$filter10,207,M0942_1.02,0.00522993,M0994_1.02,0.00315192,354.0,234.0,447.0,851.0,1.110898174685526e-10,2.904830851257199e-09,IRX4,SIX4,IRX4$\longleftrightarrow$SIX4,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
1,filter1$\longleftrightarrow$filter61,258,M0942_1.02,0.00522993,M4850_1.02,0.00399753,282.0,216.0,541.0,1503.0,0.0020202709576702988,0.01621676957913726,IRX4,TCF15,IRX4$\longleftrightarrow$TCF15,Homeodomain,bHLH,Homeodomain$\longleftrightarrow$bHLH
2,filter1$\longleftrightarrow$filter62,259,M0942_1.02,0.00522993,M0199_1.02,0.007157600000000001,594.0,504.0,959.0,1998.0,0.0038186559962436885,0.02869577845684925,IRX4,HES2,IRX4$\longleftrightarrow$HES2,Homeodomain,bHLH,Homeodomain$\longleftrightarrow$bHLH
3,filter1$\longleftrightarrow$filter78,275,M0942_1.02,0.00522993,M0408_1.02,0.00396541,246.0,216.0,657.0,1306.0,0.0005760707970512534,0.005263192282150088,IRX4,ZKSCAN1,IRX4$\longleftrightarrow$ZKSCAN1,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
4,filter1$\longleftrightarrow$filter84,281,M0942_1.02,0.00522993,M6257_1.02,0.0136718,216.0,264.0,902.0,1522.0,3.02969501199911e-17,1.3250088141487974e-15,IRX4,GATA5,IRX4$\longleftrightarrow$GATA5,Homeodomain,GATA,Homeodomain$\longleftrightarrow$GATA
5,filter1$\longleftrightarrow$filter129,326,M0942_1.02,0.00522993,M6257_1.02,0.017952700000000002,120.0,102.0,843.0,1603.0,2.767889851616613e-06,3.903489734749751e-05,IRX4,GATA5,IRX4$\longleftrightarrow$GATA5,Homeodomain,GATA,Homeodomain$\longleftrightarrow$GATA
6,filter1$\longleftrightarrow$filter143,340,M0942_1.02,0.00522993,M0607_1.02,0.00131189,822.0,342.0,1218.0,3236.0,0.003722281810538746,0.02803546016196461,IRX4,KDM2B,IRX4$\longleftrightarrow$KDM2B,Homeodomain,CxxC,Homeodomain$\longleftrightarrow$CxxC
7,filter1$\longleftrightarrow$filter153,350,M0942_1.02,0.00522993,M1007_1.02,0.0153505,588.0,426.0,931.0,2541.0,0.00042590726070986765,0.0040033673031958684,IRX4,HOXA11,IRX4$\longleftrightarrow$HOXA11,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
8,filter1$\longleftrightarrow$filter167,364,M0942_1.02,0.00522993,M1605_1.02,0.036521899999999996,432.0,216.0,925.0,2225.0,1.1705551403921001e-05,0.00014931331242732307,IRX4,SOX1,IRX4$\longleftrightarrow$SOX1,Homeodomain,Sox,Homeodomain$\longleftrightarrow$Sox
9,filter1$\longleftrightarrow$filter171,368,M0942_1.02,0.00522993,M1605_1.02,0.00593429,300.0,258.0,938.0,1802.0,0.006257333575212053,0.044628917854173715,IRX4,SOX1,IRX4$\longleftrightarrow$SOX1,Homeodomain,Sox,Homeodomain$\longleftrightarrow$Sox
10,filter1$\longleftrightarrow$filter199,396,M0942_1.02,0.00522993,M1668_1.02,0.048857300000000006,462.0,456.0,882.0,1891.0,0.0019669077944639924,0.01585236865210166,IRX4,PRKRIR,IRX4$\longleftrightarrow$PRKRIR,Homeodomain,THAP finger,Homeodomain$\longleftrightarrow$THAP finger
11,filter2$\longleftrightarrow$filter10,404,M0404_1.02,0.024599,M0994_1.02,0.00315192,456.0,414.0,291.0,430.0,7.956051242641533e-06,0.00010436220413798541,ZNF202,SIX4,ZNF202$\longleftrightarrow$SIX4,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
12,filter2$\longleftrightarrow$filter27,421,M0404_1.02,0.024599,M0942_1.02,0.016819499999999998,114.0,222.0,196.0,866.0,0.0029030427436640754,0.022440048355950717,ZNF202,IRX4,ZNF202$\longleftrightarrow$IRX4,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
13,filter2$\longleftrightarrow$filter30,424,M0404_1.02,0.024599,M0632_1.02,0.000285059,648.0,168.0,545.0,744.0,0.004880078861286911,0.035636216242476426,ZNF202,DMRTA2,ZNF202$\longleftrightarrow$DMRTA2,C2H2 ZF,DM,C2H2 ZF$\longleftrightarrow$DM
14,filter2$\longleftrightarrow$filter61,455,M0404_1.02,0.024599,M4850_1.02,0.00399753,204.0,384.0,383.0,971.0,0.001329915882450399,0.011246917188644493,ZNF202,TCF15,ZNF202$\longleftrightarrow$TCF15,C2H2 ZF,bHLH,C2H2 ZF$\longleftrightarrow$bHLH
15,filter2$\longleftrightarrow$filter62,456,M0404_1.02,0.024599,M0199_1.02,0.007157600000000001,108.0,72.0,663.0,1151.0,0.0008015836606398062,0.007104994771969491,ZNF202,HES2,ZNF202$\longleftrightarrow$HES2,C2H2 ZF,bHLH,C2H2 ZF$\longleftrightarrow$bHLH
16,filter2$\longleftrightarrow$filter84,478,M0404_1.02,0.024599,M6257_1.02,0.0136718,66.0,162.0,640.0,932.0,5.5917832741848164e-12,1.7171434471142544e-10,ZNF202,GATA5,ZNF202$\longleftrightarrow$GATA5,C2H2 ZF,GATA,C2H2 ZF$\longleftrightarrow$GATA
17,filter2$\longleftrightarrow$filter153,547,M0404_1.02,0.024599,M1007_1.02,0.0153505,690.0,270.0,682.0,1644.0,0.0003042540776452945,0.0029795038833974976,ZNF202,HOXA11,ZNF202$\longleftrightarrow$HOXA11,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
18,filter5$\longleftrightarrow$filter10,989,M0424_1.02,0.0171341,M0994_1.02,0.00315192,354.0,282.0,448.0,919.0,0.00011423061214270889,0.0012313515444354085,SNAI3,SIX4,SNAI3$\longleftrightarrow$SIX4,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
19,filter5$\longleftrightarrow$filter27,1006,M0424_1.02,0.0171341,M0942_1.02,0.016819499999999998,390.0,324.0,284.0,1632.0,0.003477161563987384,0.026424291011917667,SNAI3,IRX4,SNAI3$\longleftrightarrow$IRX4,C2H2 ZF,Homeodomain,Homeodomain$\longleftrightarrow$C2H2 ZF
20,filter5$\longleftrightarrow$filter84,1063,M0424_1.02,0.0171341,M6257_1.02,0.0136718,240.0,330.0,924.0,1764.0,4.0341900942047367e-07,6.569259303157125e-06,SNAI3,GATA5,SNAI3$\longleftrightarrow$GATA5,C2H2 ZF,GATA,C2H2 ZF$\longleftrightarrow$GATA
21,filter10$\longleftrightarrow$filter16,1950,M0994_1.02,0.00315192,M0891_1.02,0.0376976,450.0,384.0,427.0,1045.0,1.5229812867364024e-10,3.9205439359337236e-09,SIX4,TLX2,SIX4$\longleftrightarrow$TLX2,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
22,filter10$\longleftrightarrow$filter17,1951,M0994_1.02,0.00315192,M5349_1.02,0.0429401,450.0,360.0,253.0,475.0,5.5684340529491345e-06,7.436662363733882e-05,SIX4,DUXA,SIX4$\longleftrightarrow$DUXA,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
23,filter10$\longleftrightarrow$filter23,1957,M0994_1.02,0.00315192,M1605_1.02,0.00460849,12.0,192.0,174.0,617.0,0.003361137849865323,0.025635600641805305,SIX4,SOX1,SIX4$\longleftrightarrow$SOX1,Homeodomain,Sox,Homeodomain$\longleftrightarrow$Sox
24,filter10$\longleftrightarrow$filter27,1961,M0994_1.02,0.00315192,M0942_1.02,0.016819499999999998,288.0,390.0,138.0,625.0,1.5975668501348781e-09,3.654021005842981e-08,SIX4,IRX4,IRX4$\longleftrightarrow$SIX4,Homeodomain,Homeodomain,Homeodomain$\longleftrightarrow$Homeodomain
25,filter10$\longleftrightarrow$filter30,1964,M0994_1.02,0.00315192,M0632_1.02,0.000285059,402.0,336.0,408.0,717.0,1.0012333579262426e-08,2.0268100294378745e-07,SIX4,DMRTA2,SIX4$\longleftrightarrow$DMRTA2,Homeodomain,DM,Homeodomain$\longleftrightarrow$DM
26,filter10$\longleftrightarrow$filter33,1967,M0994_1.02,0.00315192,M0404_1.02,0.00558219,282.0,78.0,131.0,339.0,0.003212672315486909,0.024597524588639483,SIX4,ZNF202,ZNF202$\longleftrightarrow$SIX4,Homeodomain,C2H2 ZF,Homeodomain$\longleftrightarrow$C2H2 ZF
